0,1
0.01,0.683931
0.02,0.670511
0.03,0.159121
0.04,0.154806
0.05,0.0742307
0.06,0.0662762
0.07,0.0630812
0.08,0.0581944
0.09,0.0457811
0.1,0.0439431
0.11,0.0436319
0.12,0.0436319
0.13,0.0423868
0.14,0.0371668
0.15,0.0326104
0.16,0.0321564
0.17,0.0263876
0.18,0.02444
0.19,0.0237494
0.2,0.0214091
0.21,0.0197171
0.22,0.0179278
0.23,0.0161324
0.24,0.0138793
0.25,0.0138727
0.26,0.0107392
0.27,0.0106629
0.28,0.010478
0.29,0.00907299
0.3,0.00902175
0.31,0.00866005
0.32,0.00796576
0.33,0.00248063
0.34,0.00214698
0.35,0.00143537
